"","id","longitude","latitude","start_date","end_date","label"
"1",1,-55.1852,-10.8378,"2017-07-12","2018-06-26","Pasture"
"2",2,-57.794,-9.7573,"2017-07-12","2018-06-26","Pasture"
"3",3,-51.9412,-13.4198,"2017-07-12","2018-06-26","Pasture"
"4",4,-55.9643,-10.0621,"2017-07-12","2018-06-26","Pasture"
"5",5,-54.554,-10.3749,"2017-07-12","2018-06-26","Pasture"
"6",6,-52.4572,-10.9512,"2017-07-12","2018-06-26","Pasture"
"7",7,-52.1443,-13.9981,"2017-07-12","2018-06-26","Pasture"
"8",8,-57.6907,-13.3382,"2017-07-12","2018-06-26","Pasture"
"9",9,-54.7034,-16.4265,"2017-07-12","2018-06-26","Pasture"
"10",10,-56.7898,-11.4209,"2017-07-12","2018-06-26","Pasture"
"11",11,-55.0254,-10.0669,"2017-07-12","2018-06-26","Pasture"
"12",12,-55.3344,-12.3212,"2017-07-12","2018-06-26","Pasture"
"13",13,-52.4244,-15.8492,"2017-07-12","2018-06-26","Pasture"
"14",14,-52.296,-14.5021,"2017-07-12","2018-06-26","Pasture"
"15",15,-56.4659,-14.3062,"2017-07-12","2018-06-26","Pasture"
"16",16,-55.0574,-14.2136,"2017-07-12","2018-06-26","Pasture"
"17",17,-54.3523,-15.7024,"2017-07-12","2018-06-26","Pasture"
"18",18,-59.0879,-15.2475,"2017-07-12","2018-06-26","Pasture"
"19",19,-52.2846,-14.8633,"2017-07-12","2018-06-26","Pasture"
"20",20,-55.3012,-11.2152,"2017-07-12","2018-06-26","Pasture"
"21",21,-52.2087,-15.1112,"2017-07-12","2018-06-26","Pasture"
"22",22,-51.8678,-12.9663,"2017-07-12","2018-06-26","Pasture"
"23",23,-56.7898,-11.4209,"2017-07-12","2018-06-26","Pasture"
"24",24,-52.3999,-11.1348,"2017-07-12","2018-06-26","Pasture"
"25",25,-52.2933,-15.7941,"2017-07-12","2018-06-26","Pasture"
"26",26,-54.5348,-16.5734,"2017-07-12","2018-06-26","Pasture"
"27",27,-55.9323,-14.5852,"2017-07-12","2018-06-26","Pasture"
"28",28,-52.3452,-11.2405,"2017-07-12","2018-06-26","Pasture"
"29",29,-52.8096,-15.6518,"2017-07-12","2018-06-26","Pasture"
"30",30,-55.9432,-14.6907,"2017-07-12","2018-06-26","Pasture"
"31",31,-56.518,-15.1165,"2017-07-12","2018-06-26","Pasture"
"32",32,-51.5718,-12.603,"2017-07-12","2018-06-26","Pasture"
"33",33,-59.808,-14.3551,"2017-07-12","2018-06-26","Pasture"
"34",34,-51.8894,-13.0101,"2017-07-12","2018-06-26","Pasture"
"35",35,-56.3055,-13.4345,"2017-07-12","2018-06-26","Pasture"
"36",36,-52.1806,-15.1645,"2017-07-12","2018-06-26","Pasture"
"37",37,-57.5687,-14.366,"2017-07-12","2018-06-26","Pasture"
"38",38,-55.0574,-14.2136,"2017-07-12","2018-06-26","Pasture"
"39",39,-51.7805,-12.748,"2017-07-12","2018-06-26","Pasture"
"40",40,-55.0312,-14.2294,"2017-07-12","2018-06-26","Pasture"
"41",41,-52.4571,-10.9237,"2017-07-12","2018-06-26","Pasture"
"42",42,-59.808,-14.3551,"2017-07-12","2018-06-26","Pasture"
"43",43,-54.3989,-10.453,"2017-07-12","2018-06-26","Pasture"
"44",44,-56.6465,-13.8453,"2017-07-12","2018-06-26","Pasture"
"45",45,-60.4875,-13.0058,"2017-07-12","2018-06-26","Pasture"
"46",46,-59.8262,-14.363,"2017-07-12","2018-06-26","Pasture"
"47",47,-52.4576,-10.9625,"2017-07-12","2018-06-26","Pasture"
"48",48,-55.9472,-10.0801,"2017-07-12","2018-06-26","Pasture"
"49",49,-52.9263,-15.5581,"2017-07-12","2018-06-26","Pasture"
"50",50,-52.2688,-14.4528,"2017-07-12","2018-06-26","Pasture"
"51",51,-51.925,-13.161,"2017-07-12","2018-06-26","Pasture"
"52",52,-52.2098,-15.1053,"2017-07-12","2018-06-26","Pasture"
"53",53,-52.7058,-10.8094,"2017-07-12","2018-06-26","Pasture"
"54",54,-54.0808,-10.4529,"2017-07-12","2018-06-26","Pasture"
"55",55,-51.9407,-13.2325,"2017-07-12","2018-06-26","Pasture"
"56",56,-58.7672,-11.3732,"2017-07-12","2018-06-26","Pasture"
"57",57,-55.2881,-11.0776,"2017-07-12","2018-06-26","Pasture"
"58",58,-52.3754,-11.19,"2017-07-12","2018-06-26","Pasture"
"59",59,-55.8955,-10.081,"2017-07-12","2018-06-26","Pasture"
"60",60,-59.8262,-14.363,"2017-07-12","2018-06-26","Pasture"
"61",61,-56.1084,-14.4192,"2017-07-12","2018-06-26","Pasture"
"62",62,-52.6474,-15.7199,"2017-07-12","2018-06-26","Pasture"
"63",63,-59.808,-14.3551,"2017-07-12","2018-06-26","Pasture"
"64",64,-55.0917,-14.2115,"2017-07-12","2018-06-26","Pasture"
"65",65,-60.4875,-13.0058,"2017-07-12","2018-06-26","Pasture"
"66",66,-51.818,-12.911,"2017-07-12","2018-06-26","Pasture"
"67",67,-52.2119,-15.098,"2017-07-12","2018-06-26","Pasture"
"68",68,-53.599,-15.6653,"2017-07-12","2018-06-26","Pasture"
"69",69,-56.0585,-14.4378,"2017-07-12","2018-06-26","Pasture"
"70",70,-52.2071,-15.6595,"2017-07-12","2018-06-26","Pasture"
"71",71,-52.1867,-15.231,"2017-07-12","2018-06-26","Pasture"
"72",72,-52.5959,-15.7452,"2017-07-12","2018-06-26","Pasture"
"73",73,-55.3004,-16.0771,"2017-07-12","2018-06-26","Pasture"
"74",74,-54.3378,-10.4337,"2017-07-12","2018-06-26","Pasture"
"75",75,-52.8629,-15.5658,"2017-07-12","2018-06-26","Pasture"
"76",76,-55.2035,-10.9138,"2017-07-12","2018-06-26","Pasture"
"77",77,-51.7784,-12.7903,"2017-07-12","2018-06-26","Pasture"
"78",78,-58.7614,-11.3723,"2017-07-12","2018-06-26","Pasture"
"79",79,-54.2055,-15.3657,"2017-07-12","2018-06-26","Pasture"
"80",80,-52.8119,-15.6762,"2017-07-12","2018-06-26","Pasture"
"81",81,-55.2554,-15.5029,"2017-07-12","2018-06-26","Pasture"
"82",82,-56.023,-14.1607,"2017-07-12","2018-06-26","Pasture"
"83",83,-51.565,-12.5681,"2017-07-12","2018-06-26","Pasture"
"84",84,-54.9687,-15.1836,"2017-07-12","2018-06-26","Pasture"
"85",85,-55.0849,-10.5681,"2017-07-12","2018-06-26","Pasture"
"86",86,-52.6781,-15.6975,"2017-07-12","2018-06-26","Pasture"
"87",87,-52.2062,-15.473,"2017-07-12","2018-06-26","Pasture"
